StudID,Year,Class,Session,Credit Hour,Course Code,Total Marks,Grade Pointer Average,Grade,Group
S1,2018,DDT1C,DEC,2,ICS,45,0,F,FAIL
S2,2018,DDT1D,DEC,3,CSA,74,2,C,PASS
S3,2017,DDT1B,JUNE,2,ICS,47,0,F,FAIL
S4,2018,DDT1C,JUNE,2,ICS,93,3.8,A,EXCELLENT
S5,2018,DDT1C,DEC,1,CSA,83,3,B,DISTINCTION
S6,2018,DDT1C,JUNE,3,ICS,62,0,F,FAIL
S7,2018,DDT1D,DEC,2,ICS,40,0,F,FAIL
S8,2017,DDT1B,JUNE,1,CSA,51,0,F,FAIL
S9,2017,DDT1B,DEC,1,ICS,64,1,D,PASS
S10,2016,DDT1A,JUNE,1,CSA,47,0,F,FAIL
S11,2017,DDT1B,JUNE,3,ICS,52,0,F,FAIL
S12,2019,DDT1D,DEC,1,CSA,91,3.7,A-,DISTINCTION
S13,2019,DDT1D,JUNE,2,ICS,70,1.7,C-,PASS
S14,2017,DDT1B,DEC,2,ICS,65,1,D,PASS
S15,2017,DDT1B,JUNE,2,CSA,96,3.8,A,EXCELLENT
S16,2019,DDT1D,JUNE,1,CSA,70,1.7,C-,PASS
S17,2017,DDT1B,DEC,3,CSA,69,1.3,D+,PASS
S18,2017,DDT1B,JUNE,1,CSA,83,3,B,DISTINCTION
S19,2019,DDT1D,DEC,2,CSA,83,3,B,DISTINCTION
S20,2016,DDT1A,DEC,2,CSA,41,0,F,FAIL
S21,2016,DDT1A,DEC,3,ICS,71,1.7,C-,PASS
S22,2019,DDT1D,JUNE,3,CSA,57,0,F,FAIL
S23,2016,DDT1A,JUNE,2,ICS,51,0,F,FAIL
S24,2018,DDT1D,DEC,2,ICS,84,3,B,DISTINCTION
S25,2016,DDT1A,DEC,2,CSA,38,0,F,FAIL
S26,2019,DDT1D,JUNE,2,ICS,69,1.3,D+,PASS
S27,2019,DDT1D,JUNE,3,ICS,82,2.7,B-,PASS
S28,2017,DDT1B,DEC,2,CSA,58,0,F,FAIL
S29,2019,DDT1D,JUNE,2,CSA,44,0,F,FAIL
S30,2017,DDT1B,JUNE,3,ICS,48,0,F,FAIL
S31,2018,DDT1C,DEC,2,ICS,81,2.7,B-,PASS
S32,2018,DDT1D,JUNE,3,CSA,41,0,F,FAIL
S33,2019,DDT1D,JUNE,3,CSA,86,3,B,DISTINCTION
S34,2017,DDT1B,JUNE,1,CSA,55,0,F,FAIL
S35,2016,DDT1A,DEC,2,ICS,43,0,F,FAIL
S36,2018,DDT1C,JUNE,1,CSA,46,0,F,FAIL
S37,2018,DDT1D,JUNE,2,CSA,43,0,F,FAIL
S38,2019,DDT1C,DEC,3,ICS,53,0,F,FAIL
S39,2018,DDT1C,JUNE,1,CSA,89,3.3,B+,DISTINCTION
S40,2018,DDT1C,JUNE,3,CSA,64,1,D,PASS
S41,2018,DDT1D,JUNE,1,CSA,67,1.3,D+,PASS
S42,2017,DDT1B,JUNE,2,ICS,71,1.7,C-,PASS
S43,2016,DDT1A,DEC,1,ICS,72,1.7,C-,PASS
S44,2019,DDT1D,JUNE,1,CSA,76,2,C,PASS
S45,2017,DDT1B,DEC,2,ICS,92,3.7,A-,DISTINCTION
S46,2019,DDT1D,DEC,2,CSA,60,0,F,FAIL
